level0;level1;level2;level3;level4;itemname;itemid;inventlocationid;date;qty20;forecast20;qty19
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;26.11.2020 0:00;34;42,80255489;75
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;27.11.2020 0:00;65;45,22777578;47
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;28.11.2020 0:00;36;38,9029909;104
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;29.11.2020 0:00;60;43,71189392;75
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;30.11.2020 0:00;37;46,32113925;85
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;01.12.2020 0:00;56;45,43815421;82
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;02.12.2020 0:00;59;47,96020136;83
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;03.12.2020 0:00;38;44,70412239;60
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;04.12.2020 0:00;53;49,90787845;71
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;05.12.2020 0:00;60;41,87641191;77
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;06.12.2020 0:00;53;46,39157564;62
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;07.12.2020 0:00;62;52,23584854;80
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;08.12.2020 0:00;64;52,8579454;75
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;09.12.2020 0:00;0;55,20569456;88
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;10.12.2020 0:00;0;52,33241993;85
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;11.12.2020 0:00;0;56,8772935;91
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;12.12.2020 0:00;0;47,46648994;85
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;13.12.2020 0:00;0;52,55655936;66
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;14.12.2020 0:00;0;53,73464751;74
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;15.12.2020 0:00;0;52,7947607;70
